"Date","Operator","Aircraft","Location","Fatalities","Registration"
1997-12-19,"","Boeing 737-300","Palembang, South Sumatra",104,"9V-TRF"
1998-02-02,"","Douglas DC-9","Mt Sumagaya, Misamis Oriental",104,"RP-C1507"
2010-05-12,"","Airbus A330","Tripoli, Tripoli (طرابلس)",103,"5A-ONG"
2003-03-06,"","Boeing 737-200","Tamanrasset, Tamanrasset",102,"7T-VEZ"
2007-01-01,"","Boeing 737-400","Makassar (Ujung Pandang), South Sulawesi",102,"PK-KKW"
1998-12-11,"","Airbus A310","Surat Thani, Surat Thani (สุราษฎร์ธานี)",101,"HS-TIA"
2009-05-20,"","Lockheed C-130 Hercules","Madiun, West Java",100,"A-1325"
1996-10-31,"","Fokker 100","São Paulo-Congonhas, São Paulo",99,"PT-MRK"
1995-12-07,"","Tupolev TU-154","Grossevichi, Khabarovsk Krai",98,"RA-85164"
2020-05-22,"","Airbus A320","Karachi-Muhammad Ali Jinnah-Quaid-e-Azam, Sindh (سنڌ سندھ)",98,"AP-BLD"
2010-04-10,"","Tupolev TU-154","Smolensk, Smolensk oblast",96,"101"
2006-10-29,"","Boeing 737-200","Abuja-Nnamdi Azikiwe, Abuja Federal Capital Territory",96,"5N-BFK"
2002-01-28,"","Boeing 727-100","Mt El Cumbal, Nariño",94,"HC-BLF"
2001-09-11,"","Boeing 767-200","New York, New York",92,"N334AA"
2016-12-25,"","Tupolev TU-154","Sochi-Adler, Krasnodar Krai",92,"RA-85572"
1996-02-26,"","Lockheed C-130 Hercules","Khartoum, Khartoum (الخرطوم)",91,"-"
2007-09-16,"","McDonnell Douglas MD-82","Phuket, Phuket (ภูเก็ต)",90,"HS-OMG"
2010-01-25,"","Boeing 737-800","Beirut, Beirut Governorate",90,"ET-ANB"
1997-03-13,"","Lockheed C-130 Hercules","Mashhad, Razavi Khorasan",88,"-"
2008-09-14,"","Boeing 737-500","Perm, Perm Krai",88,"VP-BKO"
2000-01-31,"","McDonnell Douglas MD-83","Anacapa Island, California",88,"N963AS"
2002-05-04,"","BAc 111","Kano, Kano",85,"5N-ESF"
1997-12-15,"","Tupolev TU-154","Sharjah, Sharjah (الشارقةّ)",85,"EY-85281"
2000-10-25,"","Ilyushin II-18","Batumi, Adjara",84,"RA-74295"
2000-10-31,"","Boeing 747-400","Taipei-Taoyuan (ex Chiang Kai-shek), Taipei City (臺北市)",83,"9V-SPK"
2011-07-26,"","Lockheed C-130 Hercules","Guelmim, Guelmim-Es Semara",80,"CNA-OQ"
1998-08-29,"","Tupolev TU-154","Quito-Mariscal Sucre (City), Pichincha",80,"CU-T1264"
2001-10-04,"","Tupolev TU-154","Black Sea, World",78,"RA-85693"
2011-01-09,"","Boeing 727-200","Orūmīyeh, West Azerbaijan",78,"EP-IRP"
2011-07-08,"","Boeing 727-100","Kisangani, Orientale",77,"9Q-COP"
2014-02-11,"","Lockheed C-130 Hercules","Aïn Kercha, Oum el-Bouaghi",76,"7T-WHM"
1998-05-05,"","Boeing 737-200","Andoas, Loreto",75,"FAP-351"
2003-01-08,"","Avro RJ100","Diyarbakir, Southeastern Anatolia Region (Güneydoğu Anadolu Bölgesi)",75,"TC-THG"
2003-05-26,"","Yakovlev Yak-42","Trabzon, Black Sea Region (Karadeniz Bölgesi)",75,"UR-42352"
1995-09-12,"","Antonov AN-32","Colombo, Western Province (மேல் மாகாணம்)",75,"CR-861"
1997-10-10,"","Douglas DC-9","Nuevo Berlin, Río Negro",74,"LV-WEG"
2024-01-24,"","Ilyushin II-76","Yablonovo, Belgorod oblast",74,"RF-86868"
2023-01-15,"","ATR72-500","Pokhara, Gandaki",72,"9N-ANC"
2016-11-28,"","Avro RJ85","La Ceja, Antioquia",71,"CP-2933"
1995-12-03,"","Boeing 737-200","Douala, Littoral",71,"TJ-CBE"
2018-02-11,"","Antonov AN-148","Stepanovskoye, Moscow oblast",71,"RA-61704"
1997-12-17,"","Yakovlev Yak-42","Katerini, Central Macedonia / Κεντρική Μακεδονία",70,"UR-42334"
1996-10-02,"","Boeing 757-200","Lima, Lima",70,"N52AW"
2002-07-01,"","Tupolev TU-154","Überlingen, Baden-Württemberg",69,"RA-85816"
2010-11-04,"","ATR72-200","Guasimal, Sancti Spíritus",68,"CU-T1549"
1997-12-06,"","Antonov AN-124","Irkutsk-2 (Northwest/Vostochny), Irkutsk oblast",68,"08 black"
2018-02-18,"","ATR72-200","Mt Dena, Isfahan",66,"EP-ATS"
2016-05-19,"","Airbus A320","Mediterranean Sea, World",66,"SU-GCC"
2001-09-11,"","Boeing 767-200","New York, New York",65,"N612UA"
1997-09-03,"","Tupolev TU-134","Phnom Penh-Pochentong, Phnom Penh",65,"VN-A120"
1999-08-31,"","Boeing 737-200","Buenos Aires-Aeroparque-Jorge Newbery, Buenos Aires City",65,"LV-WRZ"
1995-08-09,"","Boeing 737-200","Mt San Vicente (Chichontepec), San Vicente",65,"N125GU"
2008-08-24,"","Boeing 737-200","Bishkek-Manas, Bishkek City",65,"EX-009"
2001-09-11,"","Boeing 757-200","Washington DC, District of Columbia",64,"N644AA"
1995-11-22,"","Antonov AN-32","Jaffna (Palaly), Northern Province (வட மாகாணம்)",63,"CR-862"
1995-11-22,"","Antonov AN-32","Jaffna (Palaly), Northern Province (வட மாகாணம்)",63,"CR-862"
2021-01-09,"","Boeing 737-500","Jakarta, City District of Jakarta",62,"PK-CLC"
2024-08-09,"","ATR72-500","Capela, São Paulo",62,"PS-VPB"
2016-03-19,"","Boeing 737-800","Rostov-on-Don, Rostov oblast",62,"A6-FDN"
