"Date","Operator","Aircraft","Location","Fatalities","Registration"
2008-01-23,"","Casa C-295M","Mirosławiec, West Pomeranian Voivodeship (Zachodniopomorskie)",20,"019"
2005-12-19,"","Grumman G-73 Mallard","Miami, Florida",20,"N2969"
2006-02-11,"","Antonov AN-26","Aweil, Northern Bahr el Ghazal (شمال بحر الغزال)",20,"7799"
2018-09-09,"","Let L-410","Yirol, Lakes (البحيرات)",20,"UR-TWO"
2018-09-09,"","Let L-410","Yirol, Lakes (البحيرات)",20,"UR-TWO"
2006-03-31,"","Let L-410","Rio Bonito, Rio de Janeiro",19,"PT-FSE"
2004-06-08,"","Avro 748","Libreville, Estuaire (Libreville)",19,"TR-LFW"
2011-09-25,"","Beechcraft 1900D","Kathmandu-Tribhuvan, Bagmati",19,"9N-AEK"
2000-05-21,"","BAe Jetstream 31","Wilkes-Barre, Pennsylvania",19,"N16EJ"
2019-07-30,"","Beechcraft 350 Super King Air","Islamabad, Islamabad Capital Territory (وفاقی دارالحکومت)",19,"766"
2002-11-11,"Laoag International Airline","Fokker F27 Friendship","Manila-Ninoy Aquino, Metro Manila",19,"RP-C6888"
2008-04-03,"","PZL-Mielec AN-28","Benzdorp, Sipaliwini",19,"PZ-TSO"
2001-09-12,"","Let L-410","Chichén Itzá, Yucatán",19,"XA-ACM"
2012-09-28,"","Dornier DO228","Kathmandu-Tribhuvan, Bagmati",19,"9N-AHA"
2000-07-08,"","BAe Jetstream 31","Chulum Juárez, Chiapas",19,"N912FJ"
2022-11-06,"","ATR42-500","Bukoba, Kagera Region",19,"5H-PWF"
1996-12-07,"","Casa 212 Aviocar","Banjarmasin-Syamsudin Noor, South Kalimantan",18,"PK-VSO"
2024-07-24,"","Canadair RegionalJet CRJ-200","Kathmandu-Tribhuvan, Bagmati",18,"9N-AME"
2011-09-29,"","Casa 212 Aviocar","Bohorok, North Sumatra",18,"PK-TLF"
1998-08-21,"Lumbini Airways","De Havilland DHC-6 Twin Otter","Ghorepani, Gandaki",18,"9N-ACC"
2018-08-30,"","De Havilland DHC-6 Twin Otter","Mojo, Oromia",18,"ET-AIU"
2002-08-22,"","De Havilland DHC-6 Twin Otter","Pokhara, Gandaki",18,"9N-AFR"
2001-12-02,"Federal Border Guard Aviation Command","Ilyushin II-76","Novaya Inya, Khabarovsk Krai",18,"RA-76839"
2008-10-08,"","De Havilland DHC-6 Twin Otter","Lukla-Tenzing-Hillary, Sagarmatha",18,"9N-AFE"
1999-12-21,"","Douglas DC-10","Guatemala City-La Aurora, Guatemala",18,"F-GTDI"
2014-02-16,"","De Havilland DHC-6 Twin Otter","Dihidanda, Lumbini",18,"9N-ABB"
2008-06-26,"","Casa 212 Aviocar","Mt Salak, West Java",18,"A-2106"
1999-08-07,"Guarda Costeira de Cabo Verde - Airwing","Dornier DO228","Santo Antão Island, All Cabo Verde",18,"D4-CBC"
2020-01-02,"","Antonov AN-12","Geneina, West Darfur (غرب دارفور)",18,"-"
1999-11-09,"","Douglas DC-9","Uruapan-General Ignacio López Rayón, Michoacán",18,"XA-TKN"
2001-03-29,"Avjet","Gulfstream GIII","Aspen-Pitkin County-Sardy Field, Colorado",18,"N303GA"
1999-06-17,"","Embraer EMB-110 Bandeirante","Goroka, Eastern Highlands",17,"P2-ALX"
1996-12-17,"","Antonov AN-12","Andreapol, Tver oblast",17,"21 red"
1999-12-07,"","Let L-410","Kasibu, Nueva Vizcaya",17,"RP-C3883"
2002-02-21,"","Antonov AN-26","Lakhta AFB, Arkhangelsk oblast",17,"07 red"
2006-08-03,"","PZL-Mielec AN-28","Bukavu, Sud-Kivu",17,"9Q-COM"
1999-07-24,"","Embraer EMB-110 Bandeirante","Nasirotu, All Fiji Islands",17,"DQ-AFN"
2011-09-14,"","Embraer EMB-120 Brasília","Huambo-Albano Machado, Huambo",17,"T-500"
2003-02-20,"","Fokker F27 Friendship","Kohat, Khyber Pakhtunkhwa (خیبرپختونخوا)",17,"10254"
2007-10-08,"","Let L-410","Cubarral, Meta",17,"HK-4055"
2005-04-12,"","De Havilland DHC-6 Twin Otter","Timika, Special Region of Papua",17,"PK-LTZ"
2008-09-01,"","Beechcraft 1900C","Bukavu, Sud-Kivu",17,"ZS-OLD"
1999-06-17,"","Embraer EMB-110 Bandeirante","Goroka, Eastern Highlands",17,"P2-ALX"
2008-09-01,"","Beechcraft 1900C","Bukavu, Sud-Kivu",17,"ZS-OLD"
2021-10-10,"","Let L-410","Menzelinsk, Republic of Tatarstan",16,"RF-94591"
1997-08-10,"","Dornier DO228","Matsu Nangan (Matsu Island), Lienchiang County (連江縣)",16,"B-12256"
2001-03-17,"","Beechcraft 1900C","Lubango, Huíla",16,"S9-CAE"
2011-07-13,"","Let L-410","Recife-Guararapes, Pernambuco",16,"PR-NOB"
2008-11-04,"Mexican Government","Learjet 45","Mexico City, Federal District of Mexico City",16,"XC-VMC"
1999-07-20,"","Cessna 208B Grand Caravan","Mt Silva, Región Autónoma del Atlántico Sur",16,"YN-CED"
2013-10-03,"","Embraer EMB-120 Brasília","Lagos-Murtala Muhammed, Lagos",16,"5N-BJY"
2009-07-25,"","Ilyushin II-62","Mashhad, Razavi Khorasan",16,"UP-I6208"
2024-03-12,"","Ilyushin II-76","Ivanovo-Severny, Ivanovo oblast",16,"RF-76551"
2014-05-17,"Laotian Government","Antonov AN-74TK-300","Xieng Khouang, Xieng Khouang Province",16,"RDPL-34020"
2017-07-10,"","Lockheed C-130 Hercules","Itta Bena, Mississippi",16,"165000"
2002-08-29,"","PZL-Mielec AN-28","Ayan, Khabarovsk Krai",16,"RA-28932"
1998-01-27,"","Fokker F27 Friendship","Sandoway, Rakhine State (Arakan)",16,"XY-AES"
2001-12-16,"Heliandes","Let L-410","Medellín, Antioquia",16,"HK-4175X"
2005-08-06,"","ATR72-200","Palermo, Sicily",16,"TS-LBB"
1999-08-10,"","Breguet Bre.1150 Atlantic","Rann of Kutch, Gujarat",16,"91"
2004-12-10,"","PZL-Mielec AN-28","El Junquito, Caracas Federal District",16,"GN-97121"
2012-10-07,"","Antonov AN-12","Khartoum, Khartoum (الخرطوم)",15,"ST-ARV"
2009-08-02,"","De Havilland DHC-6 Twin Otter","Oksibil, Special Region of Papua",15,"PK-NVC"
2005-05-07,"","Swearingen SA227 Metro III","Lockhart River, Queensland",15,"VH-TFU"
1995-07-12,"","De Havilland DHC-6 Twin Otter","Alotau, Milne Bay",15,"P2-MBI"
1997-04-19,"","BAe ATP","Tanjung Pandan-H. AS. Hanandjoeddin, Bangka-Belitung",15,"PK-MTX"
2006-10-19,"","PZL-Mielec AN-2","Aranchi, Tashkent Province (Toshkent viloyati)",15,"UK-70152"
2012-05-14,"","Dornier DO228","Jomsom, Dhawalagiri",15,"9N-AIG"
2003-06-30,"","Lockheed C-130 Hercules","Boufarik AFB, Blida",15,"7T-WHQ"
1997-03-12,"Von Haaf Air","Antonov AN-12","Lucapa, Lunda Norte",15,"RA-11531"
2005-02-22,"","Casa 212 Aviocar","Sarmi, Special Region of Papua",15,"P-2032"
2019-01-14,"","Boeing 707","Fath, Tehran City District",15,"EP-CPP"
1999-09-05,"","Avro 748","Kathmandu-Tribhuvan, Bagmati",15,"9N-AEG"
2018-09-17,"","Ilyushin II-20","Latakia, Latakia Governorate (مُحافظة اللاذقية‎)",15,"RF-93610"
1995-06-24,"","Tupolev TU-134","Lagos-Murtala Muhammed, Lagos",15,"RA-65617"
1996-11-01,"Transportes Aéreos Profesionales Guatemalteca","Embraer EMB-110 Bandeirante","Flores-Mundo Maya (Santa Elena), Petén",14,"TG-TPA"
2011-02-14,"","Let L-410","Tegucigalpa, Francisco Morazán",14,"HR-AUQ"
2022-02-26,"","Cessna 208B Grand Caravan","Mohéli-Bandar es Eslam, All Comoros Islands",14,"5H-MZA"
2003-07-19,"Ryan Blake Air Charter","Swearingen SA226 Metro II","Mt Kenya, Central",14,"ZS-OYI"
2015-10-02,"","Lockheed C-130 Hercules","Jalalabad, Nangarhar",14,"08-3174"
2007-08-26,"Great Lakes Business Company","Antonov AN-32","Kongolo, Katanga",14,"9Q-CAC"
2009-05-22,"Santa Coloma Investimento e Participações","Beechcraft 350 Super King Air","Porto Seguro-Terravista Golf Club, Bahia",14,"PR-MOZ"
2006-09-02,"","BAe Nimrod","Kandahar, Kandahar",14,"XV230"
2002-05-07,"","Boeing 737-500","Tunis-Carthage, Tunis Governorate (ولاية تونس‎)",14,"SU-GBI"
2008-01-04,"","Let L-410","Los Roques, Los Roques Federal Dependencies",14,"YV2081"
2001-04-04,"","Antonov AN-24","Adar Yeil, Upper Nile (أعالي النيل)",14,"-"
2010-08-24,"","Dornier DO228","Kathmandu, Bagmati",14,"9N-AHE"
2006-04-10,"","Harbin Yunsunji Y-12","Marsabit, Rift Valley",14,"KAF132"
2013-10-14,"","Cessna 208B Grand Caravan","Loreto, Baja California Sur",14,"XA-TXM"
1996-11-14,"","PZL-Mielec AN-2","Most Pyssa, Republic of Komi",14,"RA-40309"
2009-03-22,"Eagle Cap Leasing","Pilatus PC-12","Butte, Montana",14,"N128CM"
1998-12-26,"","Lockheed C-130 Hercules","Huambo-Albano Machado, Huambo",14,"S9-CAO"
1997-04-16,"Niger Air Force - Forces aériennes nigériennes","Lockheed C-130 Hercules","Niamey, Niamey City District",14,"5U-MBD"
2002-07-28,"","Ilyushin II-86","Moscow-Sheremetyevo, Moscow oblast",14,"RA-86060"
1995-01-10,"","De Havilland DHC-6 Twin Otter","Rinca Island (Pulau Rinca), East Nusa Tenggara",14,"PK-NUK"
1996-01-18,"","BAe 125","Kano, Kano",14,"5N-AXO"
2019-03-09,"","Douglas DC-3","Finca La Bendición, Meta",14,"HK-2494"
2023-09-16,"","Embraer EMB-110 Bandeirante","Barcelos, Amazonas",14,"PT-SOG"
2001-01-04,"","Shaanxi Y-8","Zhengzhou AFB, Henan",14,"31243"
1998-07-30,"","Beechcraft 1900D","Quiberon, Morbihan",14,"F-GSJM"
2003-07-19,"Ryan Blake Air Charter","Swearingen SA226 Metro II","Mt Kenya, Central",14,"ZS-OYI"
2015-10-02,"","Lockheed C-130 Hercules","Jalalabad, Nangarhar",14,"08-3174"
2011-02-14,"","Let L-410","Tegucigalpa, Francisco Morazán",14,"HR-AUQ"
2022-02-26,"","Cessna 208B Grand Caravan","Mohéli-Bandar es Eslam, All Comoros Islands",14,"5H-MZA"
1998-03-18,"","Saab 340","Hsinchu, Hsinchu City (新竹市)",13,"B-12255"
2009-08-11,"","De Havilland DHC-6 Twin Otter","Kokoda, Central",13,"P2-MCB"
2004-10-19,"","BAe Jetstream 31","Kirksville, Missouri",13,"N875JX"
2001-07-12,"Overtec","PZL-Mielec AN-28","Puerto Cabello, Carabobo",13,"YV-117CP"
2011-12-10,"Aviation Technology Innovators","Beechcraft 80 Queen Air","Manila-Ninoy Aquino, Metro Manila",13,"RP-C824"
2005-09-09,"","Antonov AN-26","Boulankio, Brazzaville City District",13,"9Q-CFD"
2007-05-24,"","De Havilland DHC-6 Twin Otter","Pampa Hermosa, San Martín",13,"FAP-303"
1997-08-21,"Afghan Antitaliban Alliance","Antonov AN-32","Bamyan, Bamyan",13,"-"
2019-06-03,"","Antonov AN-32","Lipo, Arunachal Pradesh",13,"K2752"
2006-09-17,"","Dornier DO228","Vande Ikya, Benue",13,"NAF033"
2003-11-17,"","Antonov AN-12","Wau, Western Bahr el Ghazal (غرب بحر الغزال)",13,"ST-SAA"
2016-12-18,"","Lockheed C-130 Hercules","Wamena, Special Region of Papua",13,"A-1334"
2005-05-18,"","Harbin Yunsunji Y-12","Mongu, Western",13,"AF-216"
1998-11-11,"Vilyui","Antonov AN-12","Krasnoyarsk-Yemelyanovo (Severny), Krasnoyarsk Krai",13,"RA-12955"
1995-06-16,"Nikolayevski Aviation Enterprise","PZL-Mielec AN-2","Kherpuchi, Khabarovsk Krai",13,"RA-07743"
2005-04-28,"","Let L-410","Pisco, Ica",13,"EP-830"
2000-07-25,"","Lockheed C-130 Hercules","King Hussein AFB (Mafraq), Mafraq",13,"348"
2008-01-19,"Gira Globo Lda Aeronautica","Beechcraft 200 Super King Air","Huambo-Albano Machado, Huambo",13,"D2-FFK"
1998-08-26,"TechAviaService","Antonov AN-12","Fazenda Libonge, Bengo",13,"EW-11368"
2016-12-03,"","PZL-Mielec AN-28","Tanjung Pinang, Riau Islands",13,"P-4201"
2012-06-11,"Avia-Zov","PZL-Mielec AN-2","Serov, Sverdlovsk oblast",13,"RA-40312"
2002-09-14,"","Antonov AN-2","Manskiy, Krasnoyarsk Krai",13,"RA-56888"
2019-05-05,"Compañía de Aviación y Logística Empresarial S.A.P.I.","Canadair CL-601 Challenger","La Rosita, Coahuila",13,"N601VH"
1995-05-24,"","Embraer EMB-110 Bandeirante","Leeds-Bradford, West Yorkshire",12,"G-OEAA"
2011-08-20,"","Boeing 737-200","Resolute Bay, Nunavut",12,"C-GNWN"
2019-12-27,"","Fokker 100","Almaty, Almaty Province",12,"UP-F1007"
2016-04-13,"","Britten-Norman Islander","Kiunga, Western (Fly)",12,"P2-SBC"
1996-08-19,"","Ilyushin II-76","Belgrade-Nikola Tesla (ex Surčin), Belgrade City District",12,"RA-76513"
2010-12-28,"","Antonov AN-22","Krasny Oktyabr, Tula oblast",12,"RA-09343"
1995-09-10,"Peninsula Sky Divers","Beechcraft 65 Queen Air","West Point-Middle Peninsula, Virginia",12,"N945PA"
1996-11-19,"","Beechcraft 1900C","Quincy-Baldwin Field, Illinois",12,"N87GL"
2023-10-29,"","Cessna 208B Grand Caravan","Rio Branco-Plácido de Castro, Acre",12,"PT-MEE"
2018-01-29,"","Shaanxi Y-8","Zhengchang, Guizhou",12,"30513"
1999-09-01,"Northern Air","Cessna 404 Titan","Mt Meru, Arusha Region",12,"5H-NAT"
1995-01-05,"","Lockheed L-1329 JetStar","Isfahan-Shahid Beheshti, Isfahan",12,"1003"
2010-07-05,"","PZL-Mielec AN-2","Tuzla, Constanța",12,"53"
1998-07-29,"Selva Táxi Aéreo","Embraer EMB-110 Bandeirante","Manacapuru, Amazonas",12,"PT-LGN"
2017-12-31,"","Cessna 208B Grand Caravan","Punta Islita, Guanacaste (North Pacific)",12,"TI-BEI"
2017-09-30,"","Antonov AN-12","Kinshasa, Kinshasa City Province",12,"EX-001"
2010-08-03,"","Antonov AN-24","Igarka, Krasnoyarsk Krai",12,"RA-46524"
2021-06-10,"","Beechcraft 1900D","Pyin Oo Lwin-Anisakan (Maymyo), Mandalay Region",12,"4610"
2006-11-17,"","De Havilland DHC-6 Twin Otter","Mt Puncak Jaya, Special Region of Papua",12,"PK-YPY"
1996-06-20,"Namco","Gulfstream GII","Jos, Plateau",12,"VR-BLJ"
2008-12-15,"Línea Aérea Puertorriqueña","Britten-Norman Trislander","Providenciales, All Turks and Caicos Islands",12,"N650LP"
2022-05-11,"","De Havilland DHC-6 Twin Otter","Nanga Eboko, Centre",11,"TJ-TIM"
2008-04-16,"","Antonov AN-32","Annobón Island, Annobón Province (San Antonio de Palé)",11,"3C-5GE"
2005-09-05,"Kavatshi Airlines","Antonov AN-26","Isiro, Orientale",11,"ER-AZT"
2009-11-01,"Russian Government","Ilyushin II-76","Mirny, Republic of Yakutia (Sakha)",11,"RF-76801"
2015-07-31,"","Casa-Nurtanio CN-235 (IPTN)","Agustín Codazzi, Cesar",11,"FAC1261"
2011-08-09,"Avis-Amur","Antonov AN-12","Omsukchan, Magadan oblast",11,"RA-11125"
2012-12-05,"","Douglas C-47 Skytrain (DC-3)","Mt Drakensberg, KwaZulu-Natal",11,"6840"
2013-10-19,"","Pilatus PC-6 (Porter & Turbo Porter)","Namur, Namur",11,"OO-NAC"
2010-11-28,"Sun Way","Ilyushin II-76","Karachi-Muhammad Ali Jinnah-Quaid-e-Azam, Sindh (سنڌ سندھ)",11,"4L-GNI"
2009-03-09,"","Ilyushin II-76","Entebbe, Central",11,"S9-SAB"
2017-11-15,"","Cessna 208B Grand Caravan","Empakaai Camp, Arusha Region",11,"5H-EGG"
2014-02-21,"","Antonov AN-26","Grombalia, Nabeul Governorate (ولاية نابل‎)",11,"5A-DOW"
2019-06-21,"","Beechcraft 90 King Air","Dillingham (O'ahu Island), Hawaii",11,"N256TA"
2012-06-21,"","Fokker F27 Friendship","Jakarta-Halim Perdanakusuma, City District of Jakarta",11,"A-2708"
2008-08-25,"","Lockheed C-130 Hercules","Davao City, Davao del Sur",11,"4593"
1996-02-12,"Haïti Air Express","GAF Nomad N.24","Port-au-Prince-Toussaint Louverture (François Duvalier), West",11,"N224E"
1998-11-01,"","Douglas C-47 Skytrain (DC-3)","Quetzaltenango-Los Altos, Quetzaltenango",11,"N3FY"
2009-11-06,"","Tupolev TU-142","Tatar Strait, Sakhalin oblast",11,"55 red"
1997-12-22,"","Antonov AN-72","Angola, All Angola",11,"ER-ACF"
2018-03-11,"","Canadair CL-604 Challenger","Shahr-e-Kord, Chahar Mahaal and Bakhtiari",11,"TC-TRB"
1999-02-03,"","Britten-Norman Islander","Hoskins, West New Britain",11,"P2-ALH"
1999-06-01,"","McDonnell Douglas MD-82","Little Rock-Bill & Hillary Clinton, Arkansas",11,"N215AA"
2006-01-09,"Islamic Revolutionary Guard Corps","Dassault Falcon 20","Orūmīyeh, West Azerbaijan",11,"15-2233"
2002-10-01,"","Ilyushin II-38","Dabolim, Goa",11,"IN304"
2008-08-24,"","Cessna 208A Caravan","Cabañas, Zacapa",11,"TG-JCS"
1995-11-13,"","Boeing 737-200","Kaduna-Intl, Kaduna",11,"5N-AUA"
1998-06-18,"","Swearingen SA226 Metro II","Montreal-Mirabel, Quebec",11,"C-GQAL"
2024-01-14,"","Beriev A-50","Kyrylivka, Zaporizhia Oblast",11,"RF-93966"
2021-05-21,"","Beechcraft 350 Super King Air","Kaduna-Intl, Kaduna",11,"NAF203"
2007-03-23,"","Ilyushin II-76","Mogadishu, Banaadir (بنادر‎)",11,"EW-78849"
2009-04-17,"","Pilatus PC-6 (Porter & Turbo Porter)","Mulia, Special Region of Papua",11,"PK-LTJ"
2009-10-09,"","Casa 212 Aviocar","Fonds-Verrettes, West",11,"FAU-531"
2022-05-11,"","De Havilland DHC-6 Twin Otter","Nanga Eboko, Centre",11,"TJ-TIM"
2008-04-16,"","Antonov AN-32","Annobón Island, Annobón Province (San Antonio de Palé)",11,"3C-5GE"
2005-09-05,"Kavatshi Airlines","Antonov AN-26","Isiro, Orientale",11,"ER-AZT"
2013-07-07,"","De Havilland DHC-3 Otter","Soldotna, Alaska",10,"N93PC"
2004-01-17,"","Cessna 208B Grand Caravan","Pelée Island, Ontario",10,"C-FAGA"
1999-09-25,"","Piper PA-31-350 Navajo Chieftain","Mt Mauna Loa, Hawaii",10,"N411WL"
2001-01-27,"","Beechcraft 200 Super King Air","Byers, Colorado",10,"N81PF"
2002-08-07,"","Lockheed C-130 Hercules","Caguas, All Puerto Rico",10,"90-0161"
1995-01-20,"Leadair Unijet","Dassault Falcon 20","Paris-Le Bourget, Seine-Saint-Denis",10,"F-GHLN"
2018-06-05,"","Cessna 208B Grand Caravan","Mt Aberdare, Central",10,"5Y-CAC"
2023-08-17,"","Raytheon 390 Premier I","Kuala Lumpur-Subang-Sultan Abdul Aziz Shah, Selangor",10,"N28JV"
2024-02-23,"","Beriev A-50","Yeysk, Krasnodar Krai",10,"RF-50610"
2004-10-24,"","Beechcraft 200 Super King Air","Mt Bull, Virginia",10,"N501RH"
2000-01-10,"","Saab 340","Nassenwil, Zurich",10,"HB-AKK"
2016-07-01,"","Ilyushin II-76","Uyan, Irkutsk oblast",10,"RA-76840"
1997-12-31,"","Britten-Norman Islander","Rio Sidra, Guna Yala",10,"HP-986PS"
2015-03-19,"","Beechcraft 90 King Air","Laguna del Sauce, Maldonado",10,"LV-CEO"
2001-02-10,"","GAF Nomad N.24","Jacobkondre, Sipaliwini",10,"PZ-TBP"
2005-05-16,"","Beechcraft 80 Queen Air","Meseta del Guenguel, Santa Cruz",10,"CC-CFS"
2012-11-21,"","Antonov AN-26","Sana'a, Sana'a (صنعاء)",10,"420"
2003-09-11,"Jeannine Emma Louise Van Laere","Beechcraft 200 Super King Air","Funchal, Madeira",10,"N600BV"
1996-02-19,"","Cessna 550 Citation II","Freilassing, Bavaria",10,"D-CASH"
2014-09-06,"","Piper PA-31-350 Navajo Chieftain","Araracuara, Caquetá",10,"HK-4755"
1999-12-25,"","De Havilland DHC-6 Twin Otter","Simara, Narayani",10,"9N-AFL"
2001-10-10,"","Cessna 208A Caravan","Dillingham, Alaska",10,"N9530F"
2012-09-12,"","PZL-Mielec AN-28","Palana, Kamchatka Krai",10,"RA-28715"
1996-01-12,"Centravia","Piper PA-31-350 Navajo Chieftain","Moroubas, Ouaka",10,"TL-ASB"
1997-09-06,"","Dornier DO228","Miri, Sarawak",10,"9M-MIA"
1996-02-22,"","Antonov AN-24","Baia Mare, Maramureș",10,"YR-BMK"
2016-07-01,"","Ilyushin II-76","Uyan, Irkutsk oblast",10,"RA-76840"
2004-10-24,"","Beechcraft 200 Super King Air","Mt Bull, Virginia",10,"N501RH"
2000-01-10,"","Saab 340","Nassenwil, Zurich",10,"HB-AKK"
2012-11-21,"","Antonov AN-26","Sana'a, Sana'a (صنعاء)",10,"420"
2003-09-11,"Jeannine Emma Louise Van Laere","Beechcraft 200 Super King Air","Funchal, Madeira",10,"N600BV"
1997-12-31,"","Britten-Norman Islander","Rio Sidra, Guna Yala",10,"HP-986PS"
2015-03-19,"","Beechcraft 90 King Air","Laguna del Sauce, Maldonado",10,"LV-CEO"
2001-02-10,"","GAF Nomad N.24","Jacobkondre, Sipaliwini",10,"PZ-TBP"
2005-05-16,"","Beechcraft 80 Queen Air","Meseta del Guenguel, Santa Cruz",10,"CC-CFS"
2012-09-12,"","PZL-Mielec AN-28","Palana, Kamchatka Krai",10,"RA-28715"
1996-02-19,"","Cessna 550 Citation II","Freilassing, Bavaria",10,"D-CASH"
2014-09-06,"","Piper PA-31-350 Navajo Chieftain","Araracuara, Caquetá",10,"HK-4755"
1999-12-25,"","De Havilland DHC-6 Twin Otter","Simara, Narayani",10,"9N-AFL"
2001-10-10,"","Cessna 208A Caravan","Dillingham, Alaska",10,"N9530F"
1996-01-12,"Centravia","Piper PA-31-350 Navajo Chieftain","Moroubas, Ouaka",10,"TL-ASB"
1997-09-06,"","Dornier DO228","Miri, Sarawak",10,"9M-MIA"
2012-06-02,"","Boeing 727-200","Accra-Kotoka, Greater Accra",10,"5N-BJN"
2013-03-12,"","Embraer EMB-820 Navajo/Carajá","Almeirim, Pará",10,"PT-VAQ"
2007-10-07,"","Cessna 208B Grand Caravan","Naches, Washington",10,"N430A"
1996-02-22,"","Antonov AN-24","Baia Mare, Maramureș",10,"YR-BMK"
1996-11-22,"","Lockheed C-130 Hercules","Pacific Ocean, World",10,"64-14856"
1995-02-21,"","Shin Meiwa PS-1","Okinoshima (Oki Island), Chūgoku",10,"9080"
2023-06-24,"","Ilyushin II-22","Kantemirovka, Voronezh oblast",10,"RF-75917"
2024-12-22,"","Piper PA-42 Cheyenne","Gramado, Rio Grande do Sul",10,"PR-NDN"
2001-04-28,"Les Grands Jorasses","Cessna 208B Grand Caravan","Roque Pérez, Buenos Aires province",10,"LV-WSC"
2011-05-25,"","Pilatus PC-12","Faridabad, Haryana",10,"VT-ACF"
2008-08-22,"Leavitt Group Wings","Beechcraft 100 King Air","Moab, Utah",10,"N601PC"
1995-08-09,"","Avro 748","Kaimana, Special Region of West Papua",10,"PK-KHL"
1997-12-12,"Servicios y Transportes Aéreos Petroleros - STAP","Swearingen SA226 Metro II","La Vertiente, Tarija",10,"CP-1635"
2005-01-30,"","Lockheed C-130 Hercules","Baghdad, Baghdād (بغداد)",10,"XV179"
1996-06-06,"Hoseba","Ilyushin II-76","Kinshasa-N'Djili, Kinshasa City Province",10,"UR-76539"
2019-06-30,"EE Operations","Beechcraft 350 Super King Air","Addison, Texas",10,"N534FF"
2000-08-26,"","Cessna 208B Grand Caravan","Mt Arenal, Alajuela (Center-North)",10,"HP-1357APP"
2015-12-22,"","Beechcraft 200 Super King Air","New Delhi-Indira Gandhi, National Capital Territory of Delhi",10,"VT-BSA"
2004-01-17,"","Cessna 208B Grand Caravan","Pelée Island, Ontario",10,"C-FAGA"
2013-07-07,"","De Havilland DHC-3 Otter","Soldotna, Alaska",10,"N93PC"
1999-09-25,"","Piper PA-31-350 Navajo Chieftain","Mt Mauna Loa, Hawaii",10,"N411WL"
2001-01-27,"","Beechcraft 200 Super King Air","Byers, Colorado",10,"N81PF"
2002-08-07,"","Lockheed C-130 Hercules","Caguas, All Puerto Rico",10,"90-0161"
1997-10-08,"","Cessna 208B Grand Caravan","Uncompahgre National Forest, Colorado",9,"N12022"
2001-01-14,"Skydive Salt Lake","Beechcraft 90 King Air","Tooele Valley, Utah",9,"N616F"
2006-06-21,"","De Havilland DHC-6 Twin Otter","Jumla, Karnali",9,"9N-AEQ"
2008-05-26,"","Antonov AN-12","Chelyabinsk, Chelyabinsk oblast",9,"RA-12957"
2015-06-25,"","De Havilland DHC-3 Otter","Ella Lake, Alaska",9,"N270PA"
2005-03-26,"","Let L-410","El Embrujo (Providencia Island), San Andrés, Providencia & Santa Catalina",9,"HK-4146"
2020-08-22,"","Antonov AN-26","Juba, Central Equatoria (الاستوائية الوسطى)",9,"EX-126"
2021-12-15,"","Gulfstream GIV","Santo Domingo-Las Américas, Santo Domingo",9,"HI1050"
2007-05-06,"","De Havilland DHC-6 Twin Otter","at-Tamad, Dakahlia",9,"742/F-RACB"
2009-02-25,"","Boeing 737-800","Amsterdam-Schiphol, North Holland",9,"TC-JGE"
1996-03-02,"Madrid Taxi Aéreo","Learjet 25","São Paulo-Guarulhos, São Paulo",9,"PT-LSD"
1996-08-17,"","Lockheed C-130 Hercules","Mt Sleeping Indian (Mt Sheep), Wyoming",9,"74-1662"
2000-03-24,"","Antonov AN-12","Colombo-Bandaranaike, Western Province (மேல் மாகாணம்)",9,"RA-11302"
2010-01-28,"","GAF Nomad N.22","Cotabato City, Maguindanao",9,"18"
2015-11-10,"","BAe 125","Akron-Canton, Ohio",9,"N237WR"
2018-05-02,"","Lockheed C-130 Hercules","Savannah, Georgia",9,"65-0968"
1997-11-01,"Centre Ecole Régional Parachutisme de Picardie","Pilatus PC-6 (Porter & Turbo Porter)","Laon-Chambry, Aisne",9,"F-GHXS"
2000-03-09,"Vologda Air Enterprise - Vologodskoe Aviapredpriatie","Yakovlev Yak-40","Moscow-Sheremetyevo, Moscow oblast",9,"RA-88170"
2019-07-14,"","GippsAero GA8 Airvan","Umeå, Västerbotten",9,"SE-MES"
2019-11-30,"","Pilatus PC-12","Chamberlain, South Dakota",9,"N56KJ"
2001-09-27,"","Lockheed C-130 Hercules","Campo dos Afonsos AFB, Rio de Janeiro",9,"2455"
1995-05-09,"Cooperativa Interregional de Colombia (COINCO)","Curtiss C-46 Commando","Villavicencio, Meta",9,"HK-3079-G"
1998-07-30,"","Dornier DO228","Cochin, Kerala",9,"VT-EJW"
1998-10-12,"Jetair Flight Academy","Cessna 402","Stord-Sørstokken, Hordaland",9,"OY-BHE"
1997-09-13,"","Lockheed C-141 Starlifter","Atlantic Ocean, World",9,"65-9405"
2024-03-28,"Comercializadora Masvi","Beechcraft 90 King Air","Palenque, Chiapas",9,"XB-SKA"
2008-05-26,"","Antonov AN-12","Chelyabinsk, Chelyabinsk oblast",9,"RA-12957"
1996-02-27,"Aero Tropical","Antonov AN-12","Lucapa, Lunda Norte",9,"ER-ACE"
1996-07-11,"","Let L-410","Kulu-Bhuntar, Himachal Pradesh",9,"VT-ETC"
2000-08-09,"Patuxent Airways","Piper PA-31-350 Navajo Chieftain","Burlington, New Jersey",9,"N27944"
